# y   p_re    p_im    p_mod   u_re    u_im    u_mod    v_re    v_im    v_mod                     p_re_adj    p_im_adj    p_mod_adj   u_re_adj    u_im_adj    u_mod_adj    v_re_adj    v_im_adj    v_mod_adj
2.0000e+03 -6.0874e-05 1.6520e-05 6.3075e-05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.5573e-01 -2.8795e-01 4.5766e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.0000e+03 1.9381e-10 -5.2590e-11 2.0082e-10 -2.8901e-10 5.9289e-11 2.9503e-10 -2.3055e-08 -1.1236e-07 1.1470e-07 -3.0224e-07 2.4467e-07 3.8886e-07 4.5684e-07 -3.8126e-07 5.9503e-07 2.8827e-04 3.4542e-04 4.4990e-04
4.9993e+02 -2.3974e-09 6.5040e-10 2.4840e-09 3.5750e-09 -7.3321e-10 3.6494e-09 4.4736e-08 2.1798e-07 2.2252e-07 2.9975e-06 -2.4265e-06 3.8566e-06 -4.5307e-06 3.7812e-06 5.9013e-06 -2.7194e-04 -3.2585e-04 4.2442e-04
3.3321e+02 1.0209e-08 -2.7692e-09 1.0578e-08 -1.5224e-08 3.1215e-09 1.5541e-08 -6.3575e-08 -3.0965e-07 3.1611e-07 -9.3304e-06 7.5530e-06 1.2004e-05 1.4103e-05 -1.1770e-05 1.8369e-05 2.5904e-04 3.1040e-04 4.0429e-04
2.4983e+02 -2.8362e-08 7.6914e-09 2.9387e-08 4.2294e-08 -8.6695e-09 4.3173e-08 7.7955e-08 3.7946e-07 3.8738e-07 2.0076e-05 -1.6251e-05 2.5829e-05 -3.0344e-05 2.5325e-05 3.9523e-05 -2.3766e-04 -2.8480e-04 3.7094e-04
1.9978e+02 6.2436e-08 -1.6928e-08 6.4690e-08 -9.3104e-08 1.9079e-08 9.5039e-08 -8.6117e-08 -4.1876e-07 4.2752e-07 -3.6037e-05 2.9172e-05 4.6364e-05 5.4469e-05 -4.5459e-05 7.0946e-05 2.1000e-04 2.5166e-04 3.2777e-04
1.6640e+02 -1.1849e-07 3.2119e-08 1.2277e-07 1.7669e-07 -3.6199e-08 1.8036e-07 8.6219e-08 4.1854e-07 4.2733e-07 5.7620e-05 -4.6644e-05 7.4133e-05 -8.7092e-05 7.2685e-05 1.1344e-04 -1.7467e-04 -2.0934e-04 2.7264e-04
1.4255e+02 2.0250e-07 -5.4881e-08 2.0981e-07 -3.0197e-07 6.1849e-08 3.0824e-07 -7.6491e-08 -3.7010e-07 3.7792e-07 -8.5116e-05 6.8902e-05 1.0951e-04 1.2865e-04 -1.0737e-04 1.6757e-04 1.3206e-04 1.5829e-04 2.0614e-04
1.2465e+02 -3.1961e-07 8.6603e-08 3.3114e-07 4.7660e-07 -9.7592e-08 4.8649e-07 5.5442e-08 2.6612e-07 2.7183e-07 1.1824e-04 -9.5714e-05 1.5212e-04 -1.7871e-04 1.4915e-04 2.3278e-04 -8.2321e-05 -9.8710e-05 1.2853e-04
1.1071e+02 4.7318e-07 -1.2819e-07 4.9024e-07 -7.0560e-07 1.4445e-07 7.2023e-07 -2.2135e-08 -1.0197e-07 1.0435e-07 -1.5636e-04 1.2657e-04 2.0117e-04 2.3633e-04 -1.9724e-04 3.0783e-04 2.6537e-05 3.1883e-05 4.1482e-05
