# {'yi': 5, 'slope': 1.3e-05, 'Ymax': 1000, 'Froude': 0.02, 'n_points': 300, 'variables': 'p_u_v', 'flow': 'DATA/G.txt', 'mapping': ['semi_infinite_PB', [0, 3.3840579710144927]], 'Re': 157.922677, 'a_ast': 0.552, 'alpha': 0.56552, 'equation': 'LNS_CD', 'lc': 0.16739}
# y   p_re    p_im    p_mod   u_re    u_im    u_mod    v_re    v_im    v_mod                     p_re_adj    p_im_adj    p_mod_adj   u_re_adj    u_im_adj    u_mod_adj    v_re_adj    v_im_adj    v_mod_adj
2.0000e+03 1.0306e-08 2.8516e-08 3.0321e-08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.4347e-09 -8.4915e-09 8.8337e-09 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.0000e+03 -5.6575e-13 6.5460e-13 8.6520e-13 7.5152e-14 -1.6743e-12 1.6760e-12 -5.3801e-11 8.7121e-11 1.0239e-10 -4.0452e-13 1.5279e-13 4.3242e-13 8.0178e-13 2.6275e-13 8.4373e-13 1.6717e-11 2.4182e-11 2.9398e-11
4.9998e+02 6.0429e-13 2.2653e-12 2.3445e-12 -3.6454e-12 -2.7148e-12 4.5453e-12 1.0330e-10 -1.6675e-10 1.9615e-10 3.2500e-13 -5.8513e-13 6.6934e-13 -1.2097e-12 4.8787e-13 1.3044e-12 -3.2569e-11 -4.4596e-11 5.5223e-11
3.3329e+02 -3.2805e-12 -9.6606e-12 1.0202e-11 1.6597e-11 1.0738e-11 1.9768e-11 -1.4474e-10 2.3192e-10 2.7338e-10 -9.2111e-13 2.9916e-12 3.1302e-12 5.0518e-12 -3.4265e-12 6.1042e-12 4.4264e-11 5.7599e-11 7.2643e-11
2.4994e+02 9.7714e-12 2.6973e-11 2.8688e-11 -4.7278e-11 -2.9247e-11 5.5593e-11 1.7125e-10 -2.7391e-10 3.2304e-10 2.5800e-12 -8.1840e-12 8.5811e-12 -1.3903e-11 9.3043e-12 1.6729e-11 -4.9169e-11 -5.9368e-11 7.7085e-11
1.9992e+02 -2.1692e-11 -5.9493e-11 6.3324e-11 1.0449e-10 6.4331e-11 1.2270e-10 -1.7828e-10 2.8239e-10 3.3396e-10 -5.4912e-12 1.8016e-11 1.8834e-11 3.0297e-11 -2.0696e-11 3.6692e-11 4.6095e-11 4.6437e-11 6.5430e-11
1.6657e+02 4.1177e-11 1.1259e-10 1.1988e-10 -1.9795e-10 -1.2163e-10 2.3233e-10 1.6010e-10 -2.4929e-10 2.9627e-10 1.0062e-11 -3.3818e-11 3.5283e-11 -5.6533e-11 3.9142e-11 6.8762e-11 -3.2984e-11 -1.6381e-11 3.6828e-11
1.4275e+02 -6.9535e-11 -1.9084e-10 2.0311e-10 3.3511e-10 2.0657e-10 3.9366e-10 -1.1178e-10 1.6547e-10 1.9968e-10 -1.6346e-11 5.6318e-11 5.8643e-11 9.3586e-11 -6.5709e-11 1.1435e-10 8.2212e-12 -3.3613e-11 3.4604e-11
1.2487e+02 1.0832e-10 2.9694e-10 3.1608e-10 -5.2157e-10 -3.2152e-10 6.1271e-10 3.0905e-11 -2.8383e-11 4.1961e-11 2.3712e-11 -8.5609e-11 8.8832e-11 -1.4047e-10 1.0139e-10 1.7324e-10 2.8452e-11 1.0291e-10 1.0677e-10
1.1097e+02 -1.5708e-10 -4.3068e-10 4.5843e-10 7.5651e-10 4.6682e-10 8.8894e-10 8.2443e-11 -1.6207e-10 1.8184e-10 -3.1509e-11 1.2031e-10 1.2436e-10 1.9442e-10 -1.4485e-10 2.4245e-10 -7.7188e-11 -1.8808e-10 2.0331e-10
