# y   p_re    p_im    p_mod   u_re    u_im    u_mod    v_re    v_im    v_mod                     p_re_adj    p_im_adj    p_mod_adj   u_re_adj    u_im_adj    u_mod_adj    v_re_adj    v_im_adj    v_mod_adj
2.0000e+03 2.6260e-06 3.2345e-06 4.1663e-06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.6832e-02 -1.4755e-01 1.6636e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.0000e+03 -9.5203e-12 -1.1727e-11 1.5105e-11 1.2740e-11 1.8392e-11 2.2374e-11 -6.6943e-09 4.6372e-09 8.1435e-09 -7.4405e-08 1.4292e-07 1.6113e-07 1.3290e-07 -2.4441e-07 2.7821e-07 1.7281e-04 9.3967e-05 1.9670e-04
4.9998e+02 1.1791e-10 1.4525e-10 1.8708e-10 -1.5779e-10 -2.2780e-10 2.7712e-10 1.2964e-08 -8.9805e-09 1.5771e-08 7.3854e-07 -1.4184e-06 1.5992e-06 -1.3191e-06 2.4258e-06 2.7612e-06 -1.6272e-04 -8.8483e-05 1.8522e-04
3.3329e+02 -5.0275e-10 -6.1930e-10 7.9768e-10 6.7278e-10 9.7132e-10 1.1816e-09 -1.8353e-08 1.2715e-08 2.2327e-08 -2.3013e-06 4.4198e-06 4.9830e-06 4.1102e-06 -7.5587e-06 8.6040e-06 1.5445e-04 8.3988e-05 1.7581e-04
2.4994e+02 1.3981e-09 1.7223e-09 2.2183e-09 -1.8709e-09 -2.7012e-09 3.2859e-09 2.2359e-08 -1.5491e-08 2.7201e-08 4.9558e-06 -9.5177e-06 1.0731e-05 -8.8510e-06 1.6277e-05 1.8528e-05 -1.4085e-04 -7.6593e-05 1.6033e-04
1.9992e+02 -3.0796e-09 -3.7938e-09 4.8864e-09 4.1211e-09 5.9502e-09 7.2380e-09 -2.4431e-08 1.6929e-08 2.9723e-08 -8.8995e-06 1.7092e-05 1.9270e-05 1.5894e-05 -2.9230e-05 3.3272e-05 1.2319e-04 6.6992e-05 1.4023e-04
1.6657e+02 5.8448e-09 7.2007e-09 9.2743e-09 -7.8215e-09 -1.1294e-08 1.3738e-08 2.3998e-08 -1.6633e-08 2.9199e-08 1.4227e-05 -2.7324e-05 3.0806e-05 -2.5409e-05 4.6729e-05 5.3191e-05 -1.0065e-04 -5.4738e-05 1.1458e-04
1.4275e+02 -9.9830e-09 -1.2299e-08 1.5841e-08 1.3359e-08 1.9290e-08 2.3464e-08 -2.0517e-08 1.4228e-08 2.4967e-08 -2.0996e-05 4.0324e-05 4.5463e-05 3.7499e-05 -6.8962e-05 7.8498e-05 7.3499e-05 3.9973e-05 8.3666e-05
1.2487e+02 1.5733e-08 1.9384e-08 2.4965e-08 -2.1053e-08 -3.0401e-08 3.6979e-08 1.3547e-08 -9.4079e-09 1.6494e-08 2.9111e-05 -5.5909e-05 6.3034e-05 -5.1992e-05 9.5616e-05 1.0884e-04 -4.1925e-05 -2.2805e-05 4.7726e-05
1.1097e+02 -2.3235e-08 -2.8627e-08 3.6870e-08 3.1092e-08 4.4899e-08 5.4613e-08 -2.8445e-09 2.0046e-09 3.4799e-09 -3.8382e-05 7.3715e-05 8.3109e-05 6.8550e-05 -1.2607e-04 1.4350e-04 6.7223e-06 3.6651e-06 7.6565e-06
9.9841e+01 3.2485e-08 4.0025e-08 5.1549e-08 -4.3470e-08 -6.2775e-08 7.6357e-08 -1.1558e-08 7.9589e-09 1.4033e-08 4.8444e-05 -9.3039e-05 1.0490e-04 -8.6520e-05 1.5912e-04 1.8112e-04 3.0952e-05 1.6819e-05 3.5227e-05
9.0733e+01 -4.3306e-08 -5.3361e-08 6.8723e-08 5.7951e-08 8.3691e-08 1.0180e-07 2.9293e-08 -2.0228e-08 3.5599e-08 -5.8849e-05 1.1302e-04 1.2742e-04 1.0510e-04 -1.9329e-04 2.2002e-04 -6.9555e-05 -3.7808e-05 7.9167e-05
8.3141e+01 5.5353e-08 6.8206e-08 8.7841e-08 -7.4070e-08 -1.0697e-07 1.3011e-07 -4.9665e-08 3.4320e-08 6.0370e-08 6.9049e-05 -1.3261e-04 1.4951e-04 -1.2332e-04 2.2679e-04 2.5815e-04 1.0732e-04 5.8340e-05 1.2215e-04
7.6715e+01 -6.8142e-08 -8.3968e-08 1.0814e-07 9.1184e-08 1.3169e-07 1.6018e-07 7.1720e-08 -4.9576e-08 8.7187e-08 -7.8531e-05 1.5082e-04 1.7004e-04 1.4025e-04 -2.5794e-04 2.9361e-04 -1.4252e-04 -7.7480e-05 1.6222e-04
7.1204e+01 8.1128e-08 9.9973e-08 1.2875e-07 -1.0856e-07 -1.5680e-07 1.9071e-07 -9.4378e-08 6.5248e-08 1.1474e-07 8.6835e-05 -1.6677e-04 1.8802e-04 -1.5509e-04 2.8521e-04 3.2465e-04 1.7368e-04 9.4419e-05 1.9768e-04
6.6426e+01 -9.3779e-08 -1.1556e-07 1.4883e-07 1.2549e-07 1.8125e-07 2.2045e-07 1.1659e-07 -8.0609e-08 1.4175e-07 -9.3663e-05 1.7988e-04 2.0281e-04 1.6728e-04 -3.0764e-04 3.5018e-04 -1.9979e-04 -1.0862e-04 2.2740e-04
6.2243e+01 1.0565e-07 1.3019e-07 1.6767e-07 -1.4137e-07 -2.0419e-07 2.4835e-07 -1.3748e-07 9.5051e-08 1.6714e-07 9.8859e-05 -1.8986e-04 2.1406e-04 -1.7656e-04 3.2471e-04 3.6961e-04 2.2037e-04 1.1981e-04 2.5083e-04
5.8551e+01 -1.1642e-07 -1.4347e-07 1.8476e-07 1.5578e-07 2.2502e-07 2.7368e-07 1.5642e-07 -1.0814e-07 1.9016e-07 -1.0245e-04 1.9675e-04 2.2183e-04 1.8297e-04 -3.3649e-04 3.8302e-04 -2.3549e-04 -1.2803e-04 2.6804e-04
5.5267e+01 1.2592e-07 1.5519e-07 1.9985e-07 -1.6850e-07 -2.4339e-07 2.9603e-07 -1.7306e-07 1.1964e-07 2.1039e-07 1.0455e-04 -2.0079e-04 2.2638e-04 -1.8672e-04 3.4340e-04 3.9088e-04 2.4558e-04 1.3351e-04 2.7952e-04
5.2326e+01 -1.3411e-07 -1.6528e-07 2.1285e-07 1.7946e-07 2.5923e-07 3.1528e-07 1.8730e-07 -1.2947e-07 2.2769e-07 -1.0538e-04 2.0240e-04 2.2819e-04 1.8821e-04 -3.4614e-04 3.9400e-04 -2.5134e-04 -1.3664e-04 2.8608e-04
4.9679e+01 1.4104e-07 1.7382e-07 2.2384e-07 -1.8872e-07 -2.7262e-07 3.3157e-07 -1.9923e-07 1.3770e-07 2.4218e-07 1.0518e-04 -2.0201e-04 2.2775e-04 -1.8785e-04 3.4547e-04 3.9324e-04 2.5355e-04 1.3784e-04 2.8859e-04
4.7282e+01 -1.4681e-07 -1.8094e-07 2.3300e-07 1.9644e-07 2.8377e-07 3.4513e-07 2.0904e-07 -1.4446e-07 2.5410e-07 -1.0418e-04 2.0008e-04 2.2558e-04 1.8606e-04 -3.4218e-04 3.8950e-04 -2.5299e-04 -1.3754e-04 2.8796e-04
4.5101e+01 1.5156e-07 1.8679e-07 2.4054e-07 -2.0280e-07 -2.9296e-07 3.5631e-07 -2.1699e-07 1.4993e-07 2.6375e-07 1.0258e-04 -1.9701e-04 2.2212e-04 -1.8321e-04 3.3693e-04 3.8352e-04 2.5035e-04 1.3610e-04 2.8495e-04
4.3109e+01 -1.5543e-07 -1.9158e-07 2.4670e-07 2.0798e-07 3.0046e-07 3.6542e-07 2.2334e-07 -1.5430e-07 2.7146e-07 -1.0057e-04 1.9315e-04 2.1776e-04 1.7961e-04 -3.3032e-04 3.7599e-04 -2.4621e-04 -1.3385e-04 2.8024e-04
4.1281e+01 1.5857e-07 1.9545e-07 2.5169e-07 -2.1219e-07 -3.0654e-07 3.7281e-07 -2.2837e-07 1.5775e-07 2.7755e-07 9.8274e-05 -1.8874e-04 2.1279e-04 -1.7552e-04 3.2278e-04 3.6742e-04 2.4104e-04 1.3103e-04 2.7436e-04
3.9598e+01 -1.6110e-07 -1.9857e-07 2.5571e-07 2.1557e-07 3.1144e-07 3.7876e-07 2.3229e-07 -1.6043e-07 2.8231e-07 -9.5812e-05 1.8401e-04 2.0746e-04 1.7112e-04 -3.1470e-04 3.5821e-04 -2.3521e-04 -1.2786e-04 2.6772e-04
