# y   p_re    p_im    p_mod   u_re    u_im    u_mod    v_re    v_im    v_mod                     p_re_adj    p_im_adj    p_mod_adj   u_re_adj    u_im_adj    u_mod_adj    v_re_adj    v_im_adj    v_mod_adj
2.0000e+03 -3.6545e-05 1.4543e-06 3.6574e-05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.2479e-01 1.3011e-01 1.8028e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.0000e+03 2.0757e-10 -8.2652e-12 2.0774e-10 -3.0752e-10 -2.4677e-11 3.0851e-10 7.1530e-09 -8.9104e-08 8.9390e-08 -1.9033e-07 -1.9841e-07 2.7494e-07 6.1333e-07 6.5412e-07 8.9669e-07 -3.6634e-04 3.4349e-04 5.0219e-04
4.9995e+02 -2.5817e-09 1.0289e-10 2.5837e-09 3.8247e-09 3.0678e-10 3.8370e-09 -1.3757e-08 1.7130e-07 1.7185e-07 1.8939e-06 1.9745e-06 2.7359e-06 -6.1033e-06 -6.5092e-06 8.9230e-06 3.4242e-04 -3.2107e-04 4.6940e-04
3.3324e+02 1.1045e-08 -4.4060e-10 1.1053e-08 -1.6363e-08 -1.3118e-09 1.6415e-08 1.9217e-08 -2.3911e-07 2.3988e-07 -5.9218e-06 -6.1739e-06 8.5549e-06 1.9084e-05 2.0353e-05 2.7901e-05 -3.2038e-04 3.0040e-04 4.3919e-04
2.4986e+02 -3.0773e-08 1.2288e-09 3.0798e-08 4.5591e-08 3.6533e-09 4.5737e-08 -2.2869e-08 2.8419e-07 2.8511e-07 1.2781e-05 1.3325e-05 1.8464e-05 -4.1188e-05 -4.3927e-05 6.0217e-05 2.8487e-04 -2.6711e-04 3.9051e-04
1.9983e+02 6.7773e-08 -2.7088e-09 6.7827e-08 -1.0041e-07 -8.0420e-09 1.0073e-07 2.3996e-08 -2.9752e-07 2.9848e-07 -2.2956e-05 -2.3933e-05 3.3163e-05 7.3980e-05 7.8899e-05 1.0816e-04 -2.3838e-04 2.2352e-04 3.2679e-04
1.6645e+02 -1.2825e-07 5.1308e-09 1.2836e-07 1.9001e-07 1.5212e-08 1.9062e-07 -2.1879e-08 2.7006e-07 2.7095e-07 3.6604e-05 3.8163e-05 5.2879e-05 -1.1796e-04 -1.2581e-04 1.7246e-04 1.7937e-04 -1.6819e-04 2.4589e-04
1.4261e+02 2.1769e-07 -8.7161e-09 2.1786e-07 -3.2251e-07 -2.5808e-08 3.2354e-07 1.5904e-08 -1.9406e-07 1.9471e-07 -5.3696e-05 -5.5983e-05 7.7572e-05 1.7305e-04 1.8455e-04 2.5299e-04 -1.0890e-04 1.0211e-04 1.4929e-04
1.2471e+02 -3.3960e-07 1.3609e-08 3.3988e-07 5.0314e-07 4.0246e-08 5.0474e-07 -5.6898e-09 6.4689e-08 6.4939e-08 7.3710e-05 7.6849e-05 1.0648e-04 -2.3755e-04 -2.5334e-04 3.4729e-04 2.8537e-05 -2.6764e-05 3.9124e-05
1.1079e+02 4.9441e-07 -1.9828e-08 4.9481e-07 -7.3249e-07 -5.8568e-08 7.3483e-07 -8.7698e-09 1.1820e-07 1.1853e-07 -9.5803e-05 -9.9882e-05 1.3840e-04 3.0875e-04 3.2927e-04 4.5138e-04 5.8475e-05 -5.4823e-05 8.0155e-05
9.9640e+01 -6.7859e-07 2.7235e-08 6.7914e-07 1.0054e-06 8.0356e-08 1.0086e-06 2.7018e-08 -3.4895e-07 3.4999e-07 1.1868e-04 1.2373e-04 1.7145e-04 -3.8247e-04 -4.0790e-04 5.5917e-04 -1.4778e-04 1.3856e-04 2.0258e-04
9.0513e+01 8.8469e-07 -3.5533e-08 8.8540e-07 -1.3107e-06 -1.0472e-07 1.3149e-06 -4.8136e-08 6.1611e-07 6.1799e-07 -1.4094e-04 -1.4694e-04 2.0360e-04 4.5420e-04 4.8439e-04 6.6402e-04 2.3442e-04 -2.1980e-04 3.2135e-04
8.2900e+01 -1.1024e-06 4.4306e-08 1.1033e-06 1.6332e-06 1.3045e-07 1.6384e-06 7.0867e-08 -9.0398e-07 9.0675e-07 1.6113e-04 1.6798e-04 2.3277e-04 -5.1926e-04 -5.5377e-04 7.5914e-04 -3.1349e-04 2.9394e-04 4.2974e-04
7.6453e+01 1.3202e-06 -5.3095e-08 1.3213e-06 -1.9559e-06 -1.5617e-07 1.9622e-06 -9.3826e-08 1.1952e-06 1.1989e-06 -1.7816e-04 -1.8574e-04 2.5737e-04 5.7416e-04 6.1232e-04 8.3940e-04 3.8120e-04 -3.5743e-04 5.2256e-04
7.0922e+01 -1.5276e-06 6.1476e-08 1.5289e-06 2.2633e-06 1.8065e-07 2.2705e-06 1.1574e-07 -1.4739e-06 1.4785e-06 1.9134e-04 1.9949e-04 2.7642e-04 -6.1665e-04 -6.5763e-04 9.0152e-04 -4.3521e-04 4.0808e-04 5.9661e-04
6.6124e+01 1.7167e-06 -6.9126e-08 1.7181e-06 -2.5434e-06 -2.0295e-07 2.5514e-06 -1.3566e-07 1.7280e-06 1.7333e-06 -2.0053e-04 -2.0906e-04 2.8969e-04 6.4627e-04 6.8920e-04 9.4480e-04 4.7502e-04 -4.4541e-04 6.5118e-04
6.1921e+01 -1.8826e-06 7.5852e-08 1.8842e-06 2.7893e-06 2.2251e-07 2.7981e-06 1.5299e-07 -1.9501e-06 1.9561e-06 2.0596e-04 2.1472e-04 2.9753e-04 -6.6375e-04 -7.0783e-04 9.7035e-04 -5.0146e-04 4.7021e-04 6.8743e-04
5.8208e+01 2.0239e-06 -8.1589e-08 2.0256e-06 -2.9986e-06 -2.3915e-07 3.0081e-06 -1.6753e-07 2.1378e-06 2.1444e-06 -2.0816e-04 -2.1701e-04 3.0071e-04 6.7085e-04 7.1540e-04 9.8073e-04 5.1641e-04 -4.8423e-04 7.0793e-04
5.4903e+01 -2.1413e-06 8.6366e-08 2.1430e-06 3.1725e-06 2.5296e-07 3.1826e-06 1.7937e-07 -2.2920e-06 2.2990e-06 2.0777e-04 2.1660e-04 3.0014e-04 -6.6959e-04 -7.1405e-04 9.7889e-04 -5.2207e-04 4.8954e-04 7.1569e-04
5.1943e+01 2.2370e-06 -9.0272e-08 2.2389e-06 -3.3144e-06 -2.6420e-07 3.3249e-06 -1.8876e-07 2.4158e-06 2.4231e-06 -2.0544e-04 -2.1417e-04 2.9677e-04 6.6208e-04 7.0603e-04 9.6790e-04 5.2069e-04 -4.8825e-04 7.1380e-04
4.9275e+01 -2.3141e-06 9.3424e-08 2.3159e-06 3.4285e-06 2.7324e-07 3.4393e-06 1.9603e-07 -2.5133e-06 2.5210e-06 2.0172e-04 2.1029e-04 2.9140e-04 -6.5010e-04 -6.9325e-04 9.5038e-04 -5.1420e-04 4.8218e-04 7.0491e-04
4.6857e+01 2.3754e-06 -9.5942e-08 2.3773e-06 -3.5193e-06 -2.8042e-07 3.5305e-06 -2.0152e-07 2.5890e-06 2.5969e-06 -1.9709e-04 -2.0545e-04 2.8470e-04 6.3515e-04 6.7729e-04 9.2852e-04 5.0422e-04 -4.7283e-04 6.9124e-04
4.4656e+01 -2.4238e-06 9.7939e-08 2.4257e-06 3.5910e-06 2.8608e-07 3.6024e-06 2.0556e-07 -2.6469e-06 2.6549e-06 1.9187e-04 2.0002e-04 2.7717e-04 -6.1836e-04 -6.5937e-04 9.0396e-04 -4.9199e-04 4.6136e-04 6.7446e-04
4.2643e+01 2.4617e-06 -9.9516e-08 2.4638e-06 -3.6473e-06 -2.9051e-07 3.6589e-06 -2.0844e-07 2.6905e-06 2.6985e-06 -1.8636e-04 -1.9426e-04 2.6919e-04 6.0057e-04 6.4040e-04 8.7795e-04 4.7842e-04 -4.4864e-04 6.5587e-04
4.0795e+01 -2.4914e-06 1.0075e-07 2.4934e-06 3.6912e-06 2.9397e-07 3.7029e-06 2.1038e-07 -2.7227e-06 2.7308e-06 1.8071e-04 1.8838e-04 2.6104e-04 -5.8240e-04 -6.2100e-04 8.5137e-04 -4.6417e-04 4.3529e-04 6.3634e-04
3.9092e+01 2.5143e-06 -1.0173e-07 2.5164e-06 -3.7252e-06 -2.9661e-07 3.7370e-06 -2.1160e-07 2.7460e-06 2.7541e-06 -1.7509e-04 -1.8251e-04 2.5291e-04 5.6426e-04 6.0165e-04 8.2485e-04 4.4973e-04 -4.2175e-04 6.1655e-04
3.7517e+01 -2.5319e-06 1.0244e-07 2.5340e-06 3.7512e-06 2.9870e-07 3.7631e-06 2.1217e-07 -2.7623e-06 2.7705e-06 1.6956e-04 1.7674e-04 2.4492e-04 -5.4644e-04 -5.8263e-04 7.9878e-04 -4.3540e-04 4.0832e-04 5.9691e-04
3.6056e+01 2.5454e-06 -1.0311e-07 2.5475e-06 -3.7712e-06 -3.0012e-07 3.7832e-06 -2.1245e-07 2.7732e-06 2.7813e-06 -1.6418e-04 -1.7114e-04 2.3716e-04 5.2913e-04 5.6416e-04 7.7347e-04 4.2141e-04 -3.9520e-04 5.7773e-04
3.4697e+01 -2.5553e-06 1.0334e-07 2.5574e-06 3.7859e-06 3.0156e-07 3.7979e-06 2.1197e-07 -2.7801e-06 2.7882e-06 1.5900e-04 1.6573e-04 2.2967e-04 -5.1243e-04 -5.4634e-04 7.4905e-04 -4.0788e-04 3.8252e-04 5.5919e-04
3.3429e+01 2.5630e-06 -1.0413e-07 2.5651e-06 -3.7974e-06 -3.0179e-07 3.8094e-06 -2.1209e-07 2.7831e-06 2.7911e-06 -1.5404e-04 -1.6055e-04 2.2249e-04 4.9642e-04 5.2926e-04 7.2564e-04 3.9491e-04 -3.7036e-04 5.4140e-04
3.2243e+01 -2.5677e-06 1.0344e-07 2.5698e-06 3.8042e-06 3.0367e-07 3.8163e-06 2.1009e-07 -2.7852e-06 2.7931e-06 1.4929e-04 1.5560e-04 2.1563e-04 -4.8112e-04 -5.1294e-04 7.0327e-04 -3.8252e-04 3.5875e-04 5.2442e-04
3.1131e+01 2.5726e-06 -1.0547e-07 2.5748e-06 -3.8118e-06 -3.0156e-07 3.8238e-06 -2.1170e-07 2.7821e-06 2.7902e-06 -1.4477e-04 -1.5088e-04 2.0910e-04 4.6655e-04 4.9738e-04 6.8195e-04 3.7074e-04 -3.4771e-04 5.0829e-04
3.0087e+01 -2.5725e-06 1.0207e-07 2.5746e-06 3.8111e-06 3.0659e-07 3.8234e-06 2.0589e-07 -2.7841e-06 2.7917e-06 1.4046e-04 1.4639e-04 2.0288e-04 -4.5268e-04 -4.8258e-04 6.6167e-04 -3.5958e-04 3.3724e-04 4.9298e-04
2.9103e+01 2.5783e-06 -1.0860e-07 2.5806e-06 -3.8207e-06 -2.9801e-07 3.8323e-06 -2.1345e-07 2.7732e-06 2.7814e-06 -1.3637e-04 -1.4212e-04 1.9697e-04 4.3950e-04 4.6851e-04 6.4239e-04 3.4901e-04 -3.2734e-04 4.7850e-04
2.8175e+01 -2.5709e-06 9.7253e-08 2.5727e-06 3.8078e-06 3.1345e-07 3.8206e-06 1.9679e-07 -2.7828e-06 2.7898e-06 1.3249e-04 1.3807e-04 1.9135e-04 -4.2698e-04 -4.5515e-04 6.2408e-04 -3.3902e-04 3.1797e-04 4.6480e-04
