# y   p_re    p_im    p_mod   u_re    u_im    u_mod    v_re    v_im    v_mod                     p_re_adj    p_im_adj    p_mod_adj   u_re_adj    u_im_adj    u_mod_adj    v_re_adj    v_im_adj    v_mod_adj
2.0000e+03 1.4879e-06 3.3955e-06 3.7072e-06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 -1.7483e-04 1.6998e-04 2.4384e-04 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.0000e+03 -8.4517e-12 -1.9288e-11 2.1058e-11 9.0337e-12 2.9939e-11 3.1272e-11 -8.6743e-09 2.6174e-09 9.0606e-09 2.6643e-10 -2.5931e-10 3.7179e-10 -3.4696e-10 4.2947e-10 5.5211e-10 -2.4058e-07 -1.9436e-07 3.0928e-07
4.9998e+02 1.0513e-10 2.3992e-10 2.6194e-10 -1.1236e-10 -3.7241e-10 3.8899e-10 1.6677e-08 -5.0323e-09 1.7419e-08 -2.6520e-09 2.5794e-09 3.6996e-09 3.4526e-09 -4.2735e-09 5.4939e-09 2.2491e-07 1.8170e-07 2.8914e-07
3.3329e+02 -4.4981e-10 -1.0266e-09 1.1208e-09 4.8077e-10 1.5935e-09 1.6645e-09 -2.3278e-08 7.0250e-09 2.4315e-08 8.2928e-09 -8.0649e-09 1.1568e-08 -1.0795e-08 1.3362e-08 1.7178e-08 -2.1050e-07 -1.7005e-07 2.7061e-07
2.4994e+02 1.2536e-09 2.8611e-09 3.1237e-09 -1.3398e-09 -4.4410e-09 4.6387e-09 2.7666e-08 -8.3503e-09 2.8899e-08 -1.7899e-08 1.7406e-08 2.4967e-08 2.3300e-08 -2.8840e-08 3.7076e-08 1.8726e-07 1.5127e-07 2.4073e-07
1.9992e+02 -2.7615e-09 -6.3031e-09 6.8816e-09 2.9515e-09 9.7838e-09 1.0219e-08 -2.8960e-08 8.7427e-09 3.0250e-08 3.2151e-08 -3.1265e-08 4.4847e-08 -4.1852e-08 5.1804e-08 6.6598e-08 -1.5683e-07 -1.2668e-07 2.0160e-07
1.6657e+02 5.2277e-09 1.1933e-08 1.3027e-08 -5.5872e-09 -1.8522e-08 1.9346e-08 2.6275e-08 -7.9359e-09 2.7447e-08 -5.1273e-08 4.9860e-08 7.1519e-08 6.6743e-08 -8.2615e-08 1.0621e-07 1.1817e-07 9.5444e-08 1.5190e-07
1.4275e+02 -8.8762e-09 -2.0261e-08 2.2120e-08 9.4866e-09 3.1450e-08 3.2849e-08 -1.8850e-08 5.7003e-09 1.9693e-08 7.5228e-08 -7.3154e-08 1.0493e-07 -9.7924e-08 1.2121e-07 1.5583e-07 -7.1988e-08 -5.8127e-08 9.2526e-08
1.2487e+02 1.3853e-08 3.1622e-08 3.4523e-08 -1.4805e-08 -4.9084e-08 5.1268e-08 6.2090e-09 -1.8926e-09 6.4910e-09 -1.0328e-07 1.0044e-07 1.4407e-07 1.3445e-07 -1.6642e-07 2.1394e-07 1.9301e-08 1.5557e-08 2.4790e-08
1.1097e+02 -2.0175e-08 -4.6056e-08 5.0281e-08 2.1562e-08 7.1488e-08 7.4669e-08 1.1668e-08 -3.4932e-09 1.2180e-08 1.3426e-07 -1.3056e-07 1.8728e-07 -1.7477e-07 2.1634e-07 2.7811e-07 3.7763e-08 3.0548e-08 4.8573e-08
