# {'yi': 5, 'equation': 'LNS_CD', 'flow': 'DATA/G.txt', 'mapping': ['semi_infinite_PB', [0, 3.3840579710144927]], 'Re': 157.922677, 'Froude': 0.02, 'lc': 0.16739, 'Ymax': 1000, 'variables': 'p_u_v', 'n_points': 300, 'alpha': 0.56552, 'slope': 1.3e-05}
# eigv_re    eigv_im    eigv_re_adj    eigv_im_adj
2.3499e-01 -1.7367e+05 2.3499e-01 1.7367e+05
2.3499e-01 -3.0116e+04 2.3499e-01 3.0116e+04
2.3499e-01 -1.2318e+04 2.3499e-01 1.2318e+04
2.3499e-01 -6.6038e+03 2.3499e-01 6.6038e+03
2.3499e-01 -4.1260e+03 2.3499e-01 4.1260e+03
2.3499e-01 -2.8149e+03 2.3499e-01 2.8149e+03
2.3499e-01 -2.0459e+03 2.3499e-01 2.0459e+03
2.3499e-01 -1.5529e+03 2.3499e-01 1.5529e+03
2.3499e-01 -1.2202e+03 2.3499e-01 1.2202e+03
2.3499e-01 -9.8379e+02 2.3499e-01 9.8379e+02
2.3499e-01 -8.1064e+02 2.3499e-01 8.1064e+02
2.3499e-01 -6.7954e+02 2.3499e-01 6.7954e+02
2.3499e-01 -5.7822e+02 2.3499e-01 5.7822e+02
2.3499e-01 -4.9807e+02 2.3499e-01 4.9807e+02
2.3499e-01 -4.3374e+02 2.3499e-01 4.3374e+02
2.3500e-01 -3.8120e+02 2.3500e-01 3.8120e+02
2.3500e-01 -3.3783e+02 2.3500e-01 3.3783e+02
2.3500e-01 -3.0154e+02 2.3500e-01 3.0154e+02
2.3502e-01 -2.7093e+02 2.3502e-01 2.7093e+02
2.3508e-01 -2.4482e+02 2.3508e-01 2.4482e+02
2.3525e-01 -2.2241e+02 2.3524e-01 2.2241e+02
2.3561e-01 -2.0299e+02 2.3560e-01 2.0299e+02
2.3629e-01 -1.8609e+02 2.3628e-01 1.8609e+02
2.3734e-01 -1.7126e+02 2.3732e-01 1.7126e+02
2.3879e-01 -1.5820e+02 2.3878e-01 1.5820e+02
2.4073e-01 -1.4662e+02 2.4072e-01 1.4662e+02
2.4324e-01 -1.3631e+02 2.4322e-01 1.3631e+02
2.4638e-01 -1.2709e+02 2.4635e-01 1.2709e+02
2.5025e-01 -1.1881e+02 2.5022e-01 1.1881e+02
2.5493e-01 -1.1135e+02 2.5490e-01 1.1135e+02
2.6051e-01 -1.0459e+02 2.6048e-01 1.0459e+02
2.6703e-01 -9.8458e+01 2.6699e-01 9.8458e+01
2.7450e-01 -9.2866e+01 2.7446e-01 9.2866e+01
2.8294e-01 -8.7747e+01 2.8290e-01 8.7747e+01
2.9244e-01 -8.3053e+01 2.9240e-01 8.3053e+01
3.0295e-01 -7.8740e+01 3.0292e-01 7.8740e+01
3.1418e-01 -7.4771e+01 3.1414e-01 7.4771e+01
3.2601e-01 -7.1105e+01 3.2598e-01 7.1105e+01
3.3847e-01 -6.7714e+01 3.3844e-01 6.7714e+01
3.5117e-01 -6.4567e+01 3.5114e-01 6.4567e+01
3.6445e-01 -6.1640e+01 3.6442e-01 6.1640e+01
3.7816e-01 -5.8915e+01 3.7813e-01 5.8915e+01
3.9198e-01 -5.6373e+01 3.9195e-01 5.6373e+01
4.0603e-01 -5.3995e+01 4.0600e-01 5.3995e+01
4.2028e-01 -5.1767e+01 4.2025e-01 5.1767e+01
4.3447e-01 -4.9678e+01 4.3444e-01 4.9678e+01
4.4880e-01 -4.7713e+01 4.4878e-01 4.7713e+01
4.6290e-01 -4.5864e+01 4.6288e-01 4.5864e+01
4.7703e-01 -4.4121e+01 4.7701e-01 4.4121e+01
4.9081e-01 -4.2474e+01 4.9079e-01 4.2474e+01
5.0439e-01 -4.0918e+01 5.0437e-01 4.0918e+01
5.1762e-01 -3.9444e+01 5.1761e-01 3.9444e+01
5.3032e-01 -3.8047e+01 5.3031e-01 3.8047e+01
5.4252e-01 -3.6720e+01 5.4251e-01 3.6720e+01
